token,count,rank
Plan,17,1235
Sitzungswoche,17,1236
beraten,17,1237
heutige,17,1238
Verkehr,17,1239
Hamburg,17,1240
Durch,17,1241
Wohlstand,17,1242
Anfang,17,1243
pro,17,1244
per,17,1245
Kanzlerin,17,1246
00,17,1247
Parteivorstand,17,1248
verbieten,17,1249
v,17,1250
Ziele,17,1251
koennt,17,1252
Schaut,17,1253
massiv,17,1254
Ebene,17,1255
Regierungserklaerung,17,1256
Kleiner,17,1257
getan,17,1258
14,17,1259
Tages,17,1260
Gerd,17,1261
Allen,17,1262
Herz,17,1263
gelten,17,1264
Mich,17,1265
kennt,17,1266
unbedingt,17,1267
Holocaust,17,1268
Raum,17,1269
Aufgaben,17,1270
Bericht,17,1271
europaeischer,17,1272
zehn,17,1273
vorne,17,1274
Hallo,17,1275
gt,17,1276
Thomas,17,1277
Wochenende,17,1278
Absolut,17,1279
Ok,17,1280
Genauso,17,1281
aktuelle,17,1282
Tisch,17,1283
eingeladen,17,1284
wann,17,1285
News,17,1286
nurmalso,17,1287
anderer,17,1288
gespannt,17,1289
klingt,17,1290
gefordert,17,1291
anstatt,17,1292
Insta,17,1293
voll,17,1294
muesste,17,1295
schuetzt,17,1296
intensiv,17,1297
Linie,17,1298
Zwei,17,1299
Facebook,17,1300
Gedenken,17,1301
fehlt,17,1302
Klare,17,1303
Jugend,17,1304
Russland,17,1305
zaehlt,17,1306
Strategie,17,1307
ARD,17,1308
System,17,1309
Kultur,17,1310
Gibt,17,1311
EUR,17,1312
schlimmer,17,1313
Ideologie,17,1314
fordert,17,1315
deutsch,17,1316
CSUPT17,17,1317
gruene,17,1318
Haeh,17,1319
Ausruestung,17,1320
sicheren,17,1321
Regelung,16,1322
Artikel,16,1323
bestimmt,16,1324
Stadt,16,1325
Markt,16,1326
hoch,16,1327
gegeben,16,1328
Wachstum,16,1329
Mitglieder,16,1330
Ansatz,16,1331
Marktwirtschaft,16,1332
internationale,16,1333
kam,16,1334
danach,16,1335
21,16,1336
Maske,16,1337
alleine,16,1338
Wissenschaft,16,1339
bessere,16,1340
herzlich,16,1341
damals,16,1342
Rassismus,16,1343
Unter,16,1344
Projekt,16,1345
grossartige,16,1346
Experten,16,1347
Paris,16,1348
kleine,16,1349
hoeren,16,1350
Verbesserung,16,1351
Umfrage,16,1352
Foerderung,16,1353
hohen,16,1354
Waehler,16,1355
Erfahrung,16,1356
kenne,16,1357
Gratulation,16,1358
frueh,16,1359
wirtschaftlichen,16,1360
entweder,16,1361
Haushaltsausschuss,16,1362
gehabt,16,1363
schwierig,16,1364
Terror,16,1365
Haette,16,1366
falsche,16,1367
Kosten,16,1368
frueher,16,1369
Haben,16,1370
notwendige,16,1371
Sinn,16,1372
Freunden,16,1373
aufgrund,16,1374
einstimmig,16,1375
It,16,1376
inakzeptabel,16,1377
StrongerTogether,16,1378
treffen,16,1379
verstehe,16,1380
Nachdem,16,1381
erinnern,16,1382
kennen,16,1383
Generalsekretaer,16,1384
our,16,1385
Top,16,1386
einzige,16,1387
DDR,16,1388
glaubt,16,1389
irgendwie,16,1390
Belarus,16,1391
Satire,16,1392
kluge,16,1393
geboten,16,1394
Entscheidend,16,1395
langfristig,16,1396
24,16,1397
r,16,1398
are,16,1399
Rundfunkbeitrag,16,1400
Verfassungsschutz,16,1401
True,16,1402
Bekenntnis,16,1403
Linkspartei,16,1404
Sicherheitspolitik,16,1405
OeRR,16,1406
transatlantischen,16,1407
Europarats,16,1408
Vorsitz,15,1409
alten,15,1410
Innovationen,15,1411
umso,15,1412
Generation,15,1413
Baerbock,15,1414
Beste,15,1415
Maerz,15,1416
Forschung,15,1417
gemeinsamen,15,1418
erneut,15,1419
Weise,15,1420
Haushalt,15,1421
Denn,15,1422
Infos,15,1423
Abstand,15,1424
App,15,1425
16,15,1426
Bild,15,1427
Senkung,15,1428
Wertschaetzung,15,1429
WeRemember,15,1430
Landesgruppe,15,1431
jungen,15,1432
Schueler,15,1433
Aussen,15,1434
Faehigkeiten,15,1435
Bayerischen,15,1436
Voraussetzungen,15,1437
Ministerpraesident,15,1438
offenen,15,1439
steigt,15,1440
frei,15,1441
knapp,15,1442
Cannabis,15,1443
Inhalte,15,1444
ne,15,1445
sowas,15,1446
gleiche,15,1447
Kooperation,15,1448
Verlaengerung,15,1449
verhindert,15,1450
interessant,15,1451
gleichen,15,1452
Praesidenten,15,1453
Kameraden,15,1454
heraus,15,1455
Wert,15,1456
Gruenden,15,1457
Kind,15,1458
gebracht,15,1459
Daumen,15,1460
mache,15,1461
Europaeische,15,1462
Fan,15,1463
Toleranz,15,1464
Seid,15,1465
Kommt,15,1466
Wahnsinn,15,1467
Verhaeltnis,15,1468
spielt,15,1469
daraus,15,1470
vermutlich,15,1471
naemlich,15,1472
fuers,15,1473
dessen,15,1474
Rechtsstaats,15,1475
Buero,15,1476
Vernunft,15,1477
Kanzler,15,1478
sage,15,1479
Wann,15,1480
kleinen,15,1481
Manchmal,15,1482
Kurzarbeit,15,1483
versteht,15,1484
brexit,15,1485
zudem,15,1486
Vergangenheit,15,1487
Diktatur,15,1488
nennt,15,1489
etwa,15,1490
Meinungsfreiheit,15,1491
Quatsch,15,1492
Uebrigen,15,1493
Nawalny,15,1494
Hetze,14,1495
GG,14,1496
foerdern,14,1497
junge,14,1498
Klimaziele,14,1499
Bau,14,1500
Null,14,1501
Ab,14,1502
Verhalten,14,1503
November,14,1504
Licht,14,1505
Digitale,14,1506
Perspektive,14,1507
Aschermittwoch,14,1508
Leistung,14,1509
Abstimmung,14,1510
17,14,1511
gesetzt,14,1512
Opposition,14,1513
Gestern,14,1514
einsetzen,14,1515
Deal,14,1516
nachhaltig,14,1517
gehandelt,14,1518
traegt,14,1519
ernst,14,1520
Opfern,14,1521
spannende,14,1522
Mittelpunkt,14,1523
Jugendliche,14,1524
Geschlossenheit,14,1525
vieles,14,1526
schoenes,14,1527
innen,14,1528
eigener,14,1529
schlecht,14,1530
Impfstoff,14,1531
MdB,14,1532
Substitution,14,1533
schnelle,14,1534
my,14,1535
besseren,14,1536
deutscher,14,1537
Prioritaet,14,1538
zuegig,14,1539
corona,14,1540
cool,14,1541
laenger,14,1542
vorstellen,14,1543
Freunde,14,1544
Follower,14,1545
oben,14,1546
Monate,14,1547
momentan,14,1548
Servicetweet,14,1549
Mutter,14,1550
we,14,1551
spielen,14,1552
Abgeordnete,14,1553
konnten,14,1554
leicht,14,1555
